商品名(原文),正規化食材名,主原料グループ,食感カテゴリ,タンパク質区分,練り物,乾物(水戻し)
☆☆5倉庫共通　新重量　ﾜｲｴﾑ冷凍厚焼玉子　450g,5倉庫共通　新重量　ﾜｲｴﾑ冷凍厚焼玉子,卵系,ふわふわ・なめらか,,,
☆☆あじかん やわらかたまご500g（スクランブルエッグ）,あじかん やわらかたまご,卵系,ふわふわ・なめらか,,,
かに玉　20g×50個　※栄養価は仮です,かに玉,卵系,ふわふわ・なめらか,,,
5/23～発注可能 合鴨ロース切り落とし(加熱済)500g,合鴨ロース切り落とし(加熱済),合鴨系,肉・ジューシー,,,
☆☆【NEW】枝豆コロッケ30g×30,NEW】枝豆コロッケ,大豆系,フライ・衣サクサク,,,
☆☆業務用水煮大豆　1kg,業務用水煮大豆,大豆系,要分類,,,
☆☆【自然解凍】　むき枝豆 500g　※水研,自然解凍】　むき枝豆,大豆系,要分類,,,
☆☆きんぴら蓮根　(1kg 固形量750g 軽く水気を切り800g使用）　うどんランチボックス,きんぴら蓮根　(,根菜系,シャキ・歯ごたえ,,,
☆☆れんこん乱切り　500g ※要加熱,れんこん乱切り,根菜系,シャキ・歯ごたえ,,,
☆☆冷凍かぶ　銀杏切り 500g,冷凍かぶ　銀杏切り,根菜系,シャキ・歯ごたえ,,,
☆☆冷凍国産紅芯大根のマリネ（千切り）500g,冷凍国産紅芯大根のマリネ（千切り）,根菜系,シャキ・歯ごたえ,,,
☆☆冷凍竹の子千切り　500g※ファーストシーダーズ,冷凍竹の子千切り,根菜系,シャキ・歯ごたえ,,,
☆☆前川　冷凍 ささがきごぼう 500g,前川　冷凍 ささがきごぼう,根菜系,シャキ・歯ごたえ,,,
☆☆大根乱切り 500g,大根乱切り,根菜系,シャキ・歯ごたえ,,,
☆☆水研　自然解凍大根葉(葉大根)　500g,水研　自然解凍大根葉(葉大根),根菜系,シャキ・歯ごたえ,,,
【終売】☆☆【自然解凍】大根葉(葉大根)5mmカット,終売】☆☆大根葉(葉大根)5mmカット,根菜系,シャキ・歯ごたえ,,,
☆☆【自然解凍】人参千切り　500g,自然解凍】人参千切り,根菜系,シャキ・歯ごたえ,,,
☆☆CPプリっとえびカツ 50g×6個,CPプリっとえびカツ,海老系,フライ・衣サクサク,いか/えび,,
エビ白身カツ　40g×25個,エビ白身カツ,海老系,フライ・衣サクサク,えび,,
☆☆オマール海老のビスク風コロッケ 35g×20個　【VR】【TB】,オマール海老のビスク風コロッケ,海老系,フライ・衣サクサク,鶏肉/えび/かに,,
☆☆ｴﾋﾞﾌﾗｲﾅﾁｭﾗﾙｶｰﾌﾞM　 17g×50尾　※辻野,ｴﾋﾞﾌﾗｲﾅﾁｭﾗﾙｶｰﾌﾞM,海老系,魚介・身,えび,,
☆☆和牛使用ビーフシチューコロッケ　40g×15,和牛使用ビーフシチューコロッケ,牛肉系,フライ・衣サクサク,鶏肉/牛肉/豚肉,,
☆☆大豊ビーフカツ　28g*20,大豊ビーフカツ,牛肉系,フライ・衣サクサク,牛肉,,
☆☆GLUG  牛スジ煮込み　500ｇ,GLUG  牛スジ煮込み,牛肉系,肉・ジューシー,鶏肉/牛肉,,
☆☆大和 ビーフ入りﾊﾝﾊﾞｰｸﾞ(ph) 30g*34個　※自然,大和 ビーフ入りﾊﾝﾊﾞｰｸﾞ(ph),牛肉系,肉・ジューシー,鶏肉/牛肉/豚肉,,
☆☆【自然解凍】やどかり弁当　加熱済み味付け牛肉　400g【TB】,自然解凍】やどかり弁当　加熱済み味付け牛肉,牛肉系,肉・ジューシー,牛肉/さば,,
※白身魚フライ　20ｇ×50（シーテック）,白身魚フライ,白身魚系,フライ・衣サクサク,,,
☆☆粉付アブラカレイ　20g×50個,粉付アブラカレイ,白身魚系,フライ・衣サクサク,,,
☆☆JFSA まぐろフレーク　500g,JFSA まぐろフレーク,白身魚系,魚介・身,,,
☆☆Mちくわの磯辺揚げ（中）小口包装20.5g×48個入　うどんランチボックス,Mちくわの磯辺揚げ（中）小口包装20.,練り物系,すり身・弾力,豚肉,○,
☆☆いか団子　約18-20g（約50個入り）,いか団子　約18-,練り物系,すり身・弾力,いか,○,
☆☆かに風味蒲鉾ほぐし500g,かに風味蒲鉾ほぐし,練り物系,すり身・弾力,かに,○,
☆☆たこ八　20g×50,たこ八,練り物系,すり身・弾力,いか,○,
たこ焼き　20g×50個　※ふたば,たこ焼き,練り物系,すり身・弾力,,○,
☆☆ちぎり揚げ（野菜と豆腐）20g×50個,ちぎり揚げ（野菜と豆腐）,練り物系,すり身・弾力,,○,
☆☆とり善 鶏さつま揚げ 20g×48個以上,とり善 鶏さつま揚げ,練り物系,すり身・弾力,鶏肉,○,
☆☆カレーボール約12g×75個以上　「銚子名物カレーボール」,カレーボール約,練り物系,すり身・弾力,,○,
徳用肉シュウマイ　15g×50個,徳用肉シュウマイ,練り物系,すり身・弾力,鶏肉/豚肉,○,
☆☆【自然解凍】おさかなソー5mmスライス　（魚肉ソーセージ　500g）　※終売次第、山芋とわかめの梅サラダ⇒干し豆腐ときゅうりのピリ辛高菜サラダのレシピにてお届けいたします,自然解凍】おさかなソー5mmスライス　（魚肉ソーセージ,練り物系,すり身・弾力,,○,不要(戻し済/生)
☆☆花がんも（紅）7g×140個,花がんも（紅）,練り物系,すり身・弾力,,○,
うまい菜　500g,うまい菜,葉物系,シャキ・やわ野菜,,,
カット小松菜　※自然解凍　ＪＦＤＡ,カット小松菜,葉物系,シャキ・やわ野菜,,,
☆☆チンゲン菜カット　500g※終売次第メーカー切替になります,チンゲン菜カット,葉物系,シャキ・やわ野菜,,,
チンゲン菜カット3-5cm　500g　西原,チンゲン菜カット3-,葉物系,シャキ・やわ野菜,,,
☆☆七味もやし1.2k (固形800g）,七味もやし1.,葉物系,シャキ・やわ野菜,かに,,
☆☆冷凍白菜漬　1kg(固形 800g),冷凍白菜漬,葉物系,シャキ・やわ野菜,,,
☆☆刻み高菜 1kg（おいしい漬物）,刻み高菜,葉物系,シャキ・やわ野菜,,,
☆☆瀬戸むらさき(国産広島菜),瀬戸むらさき(国産広島菜),葉物系,シャキ・やわ野菜,,,
自然解凍　ほうれん草　ファーストシダーズ,自然解凍　ほうれん草　ファーストシダーズ,葉物系,シャキ・やわ野菜,,,
【自然解凍】カットキャベツ3-5cm　※西原商会,自然解凍】カットキャベツ3-,葉物系,シャキ・やわ野菜,,,
☆☆【自然解凍】冷凍水菜カット IQF  500g,自然解凍】冷凍水菜カット IQF,葉物系,シャキ・やわ野菜,,,
☆☆自然解凍小松菜カット IQF　1kg(在庫終売次第、要加熱500gが納品されます),自然解凍小松菜カット IQF,葉物系,シャキ・やわ野菜,,,
☆☆要加熱　小松菜　500g,要加熱　小松菜,葉物系,シャキ・やわ野菜,,,
☆☆5種の果汁の大根おろしソース 2kg,5種の果汁の大根おろしソース,調味料・だし,—(調味料),,,
☆☆※BASIC ごま油1.65㎏,BASIC ごま油1.65㎏,調味料・だし,—(調味料),,,
☆☆※BASIC 料理酒1.8L　※終売次第、地場購入でお願いいたします,BASIC 料理酒1.8L,調味料・だし,—(調味料),,,
☆☆GLカレーソース　2kg(創味),GLカレーソース,調味料・だし,—(調味料),鶏肉/牛肉/豚肉,,
☆☆JFSAトマトケチャップ標準,JFSAトマトケチャップ標準,調味料・だし,—(調味料),,,
☆☆※ONE(S)マヨネーズ卵黄1kg,ONE(S)マヨネーズ卵黄,調味料・だし,—(調味料),,,
☆☆PB柚子胡椒ソース 1000g,PB柚子胡椒ソース,調味料・だし,—(調味料),鶏肉,,
☆☆※QP 具沢山ｿｰｽ ﾀﾙﾀﾙ 500g 【VR】【TB】500g,QP 具沢山ｿｰｽ ﾀﾙﾀﾙ,調味料・だし,—(調味料),,,
☆☆うま辛醤タレ（コチジャン）200g,うま辛醤タレ（コチジャン）,調味料・だし,—(調味料),,,
☆☆かつお節破砕　15mm　100g,かつお節破砕　15mm,調味料・だし,—(調味料),,,
☆☆ごまあえの素 500g（日本食研）,ごまあえの素,調味料・だし,—(調味料),さば,,
4/30～発注可能　たまねぎのクリーミーソース　1L,たまねぎのクリーミーソース　1L,調味料・だし,—(調味料),,,
やどかり 黒ゴマだれ　1.1kg,やどかり 黒ゴマだれ　1.,調味料・だし,—(調味料),鶏肉/豚肉,,
☆☆やどかり　塩だれ 500g,やどかり　塩だれ,調味料・だし,—(調味料),鶏肉/豚肉/えび,,
☆☆やどかりオイスターソース　250g,やどかりオイスターソース,調味料・だし,—(調味料),,,
☆☆やどかり万能醤油だれ 500g,やどかり万能醤油だれ,調味料・だし,—(調味料),,,
☆☆やどかり国産生姜焼きのタレ 200g,やどかり国産生姜焼きのタレ,調味料・だし,—(調味料),,,
やどかり弁当　味噌ダレ※創味　500g,やどかり弁当　味噌ダレ,調味料・だし,—(調味料),さば,,
☆☆やどかり弁当　和風だし　10kg,やどかり弁当　和風だし,調味料・だし,—(調味料),さば,,
やどかり弁当　塩レモンダレ※創味　200g,やどかり弁当　塩レモンダレ,調味料・だし,—(調味料),,,
☆☆やどかり弁当黒酢酢豚ソース　2.1kg　【VR】【TB】,やどかり弁当黒酢酢豚ソース　2.,調味料・だし,—(調味料),,,
☆☆アンチョビ&ガーリックソース（オイル）900g,アンチョビ&ガーリックソース（オイル）,調味料・だし,—(調味料),,,
5/26～発注可能　イタリアンバジルソース　525g,イタリアンバジルソース,調味料・だし,—(調味料),鶏肉,,
☆☆ウスターソース　1.8L,ウスターソース　1.8L,調味料・だし,—(調味料),,,
☆☆※オイリオリノールサラダ油 1.5㎏,オイリオリノールサラダ油 1.5㎏,調味料・だし,—(調味料),,,
☆☆カンタン白和えの素　500g,カンタン白和えの素,調味料・だし,—(調味料),,,
☆☆シーザードレッシング　1L(1015g),シーザードレッシング　1L(,調味料・だし,—(調味料),豚肉,,
☆☆デミグラスソース(具なし)　180g,デミグラスソース(具なし),調味料・だし,—(調味料),鶏肉/牛肉/豚肉,,
☆☆トッピングサクサク醤油オイルベース 350g　【VR】,トッピングサクサク醤油オイルベース,調味料・だし,—(調味料),,,
☆☆トマト煮込みソース 2kg,トマト煮込みソース,調味料・だし,—(調味料),鶏肉,,
ナチュラルコンソメC 1kg,ナチュラルコンソメC,調味料・だし,—(調味料),鶏肉,,
☆☆バターソース 505g,バターソース,調味料・だし,—(調味料),,,
☆☆ピーナッツ和えの素 500g,ピーナッツ和えの素,調味料・だし,—(調味料),,,
七味もやし調味液(惣菜の調味液・発注不要),七味もやし調味液(惣菜の調味液・発注不要),調味料・だし,—(調味料),,,
☆☆万能あん　200g,万能あん,調味料・だし,—(調味料),,,
☆☆①上白糖　1kg,上白糖,調味料・だし,—(調味料),,,
③上白糖　1㎏,上白糖　1㎏,調味料・だし,—(調味料),,,
☆☆創味シャンタンDX（味覇）ｳｪｲﾊﾟｰと同じ 500g,創味シャンタンDX（味覇）ｳｪｲﾊﾟｰと同じ,調味料・だし,—(調味料),鶏肉/牛肉/豚肉,,
☆☆厨房王　チリソース　400g,厨房王　チリソース,調味料・だし,—(調味料),鶏肉,,
☆☆味付塩こしょう　225g,味付塩こしょう,調味料・だし,—(調味料),,,
☆☆旨味ギュッとMOROMI醤　1.14kg,旨味ギュッとMOROMI醤　1.,調味料・だし,—(調味料),,,
☆☆旨辛しょうが昆布　1kg,旨辛しょうが昆布,調味料・だし,—(調味料),,,
☆☆＊昆布ぽん酢ジュレ　295g,昆布ぽん酢ジュレ,調味料・だし,—(調味料),豚肉,,
☆☆梅ダレ　1100g　【VR】,梅ダレ,調味料・だし,—(調味料),さば,,
☆☆焼肉のたれ　極 2kg,焼肉のたれ　極,調味料・だし,—(調味料),,,
☆☆片栗粉（ヨーロッパ産・加工澱粉）400g　【VR】【TB】,片栗粉（ヨーロッパ産・加工澱粉）,調味料・だし,—(調味料),,,
☆☆理研ｺﾝｿﾒS(粉末)500g,理研ｺﾝｿﾒS(粉末),調味料・だし,—(調味料),鶏肉,,
☆☆甘辛揚げのたれ　250g,甘辛揚げのたれ,調味料・だし,—(調味料),,,
生姜おろし　200ｇ　※青山,生姜おろし,調味料・だし,—(調味料),,,
☆☆※精製塩　1kg,精製塩,調味料・だし,—(調味料),,,
【終売】☆☆※【自然解凍】TO おろし生姜 200g※終売次第メーカー切替になります。,終売】☆☆,調味料・だし,—(調味料),,,
☆☆【自然解凍】JFSA 辛子明太子（キャップ付き）300g　【VR】,自然解凍】JFSA 辛子明太子（キャップ付き）,調味料・だし,—(調味料),,,
☆☆【自然解凍】油調ナス　500g　【TB】,自然解凍】油調ナス,調味料・だし,—(調味料),,,
☆☆豆乳鍋スープ　1L,豆乳鍋スープ　1L,調味料・だし,—(調味料),鶏肉/豚肉,,
☆☆※醤油 上級本醸造 徳用1.8L,醤油 上級本醸造 徳用1.8L,調味料・だし,—(調味料),,,
☆☆青じそ和えのもと　500g,青じそ和えのもと,調味料・だし,—(調味料),,,
☆☆食研ハンバーグソース和風オニオンチルド  1L（1065g）,食研ハンバーグソース和風オニオンチルド  1L（,調味料・だし,—(調味料),,,
☆☆麦みそ漬スライス(刻み)　固形1kg,麦みそ漬スライス(刻み)　固形,調味料・だし,—(調味料),,,
☆☆ｸｯｷﾝｸﾞｿｰｽ ハニ―マスタード 1L　【VR】,ｸｯｷﾝｸﾞｿｰｽ ハニ―マスタード 1L,調味料・だし,—(調味料),,,
☆☆ﾀﾏﾉｲ ﾍﾙｼｰ穀物酢1.8L,ﾀﾏﾉｲ ﾍﾙｼｰ穀物酢1.8L,調味料・だし,—(調味料),,,
ふんわり花形豆腐(菜の花)　50個以上　800g　約16g,ふんわり花形豆腐(菜の花),豆腐系,ふわふわ・なめらか,,,
☆☆冷凍豆腐干(干し豆腐)  500g,冷凍豆腐干(干し豆腐),豆腐系,ふわふわ・なめらか,,,
☆☆刻み揚げ　1kg,刻み揚げ,豆腐系,ふわふわ・なめらか,,,
☆☆生姜入り豆腐ステーキ　50g×20個,生姜入り豆腐ステーキ,豆腐系,ふわふわ・なめらか,,,
☆☆【自然解凍】うの花　500g,自然解凍】うの花,豆腐系,ふわふわ・なめらか,,,
☆☆【自然解凍】かにのふわふわ豆腐　25g×20個,自然解凍】かにのふわふわ豆腐,豆腐系,ふわふわ・なめらか,豚肉/かに,,
☆☆鶴羽二重　高野豆腐1/4カット　500g(120個以上）,鶴羽二重　高野豆腐1/4カット,豆腐系,ふわふわ・なめらか,,,要(乾燥)
☆☆麻婆豆腐の素　360g,麻婆豆腐の素,豆腐系,ふわふわ・なめらか,鶏肉/牛肉/豚肉,,
☆☆ピーマン肉詰めフライ 30g×30,ピーマン肉詰めフライ,豚肉系,フライ・衣サクサク,豚肉,,
